Station_name,ID,Datetime,BC,EC,Protocol,Instrument_EC,Instrument_BC,OC,MAC,Size_cut,C_value,H_value,Flag_MCH
Genova-Bolzaneto,ID332,2011-07-08 00:00:00+00:00,1.32612158,1.3393827961546374,UNKNOWN,UNKNOWN,MAAP,999.0,999.0,1.0,999.0,1.0,1.0
Genova-Bolzaneto,ID332,2011-07-10 00:00:00+00:00,1.684976449,1.701826212986626,UNKNOWN,UNKNOWN,MAAP,999.0,999.0,1.0,999.0,1.0,1.0
Genova-Bolzaneto,ID332,2011-07-12 00:00:00+00:00,2.267456833,2.290131401200389,UNKNOWN,UNKNOWN,MAAP,999.0,999.0,1.0,999.0,1.0,1.0
Genova-Bolzaneto,ID332,2011-07-14 00:00:00+00:00,1.46805007,1.48273057119592,UNKNOWN,UNKNOWN,MAAP,999.0,999.0,1.0,999.0,1.0,1.0
Genova-Bolzaneto,ID332,2011-07-19 00:00:00+00:00,0.968671411,0.9783581255930892,UNKNOWN,UNKNOWN,MAAP,999.0,999.0,1.0,999.0,1.0,1.0
Genova-Bolzaneto,ID332,2011-07-22 00:00:00+00:00,1.391351213,1.4052647247706191,UNKNOWN,UNKNOWN,MAAP,999.0,999.0,1.0,999.0,1.0,1.0
Genova-Bolzaneto,ID332,2011-07-24 00:00:00+00:00,0.397146847,0.4011183152569735,UNKNOWN,UNKNOWN,MAAP,999.0,999.0,1.0,999.0,1.0,1.0
Genova-Bolzaneto,ID332,2011-07-30 00:00:00+00:00,1.430333721,1.4446370580182308,UNKNOWN,UNKNOWN,MAAP,999.0,999.0,1.0,999.0,1.0,1.0
Genova-Bolzaneto,ID332,2011-08-01 00:00:00+00:00,1.685543203,1.702398634916488,UNKNOWN,UNKNOWN,MAAP,999.0,999.0,1.0,999.0,1.0,1.0
Genova-Bolzaneto,ID332,2011-08-05 00:00:00+00:00,1.684477319,1.7013220922821066,UNKNOWN,UNKNOWN,MAAP,999.0,999.0,1.0,999.0,1.0,1.0
Genova-Bolzaneto,ID332,2011-08-07 00:00:00+00:00,0.674605295,0.6813513483575374,UNKNOWN,UNKNOWN,MAAP,999.0,999.0,1.0,999.0,1.0,1.0
Genova-Bolzaneto,ID332,2011-08-09 00:00:00+00:00,1.077812356,1.0885904796603918,UNKNOWN,UNKNOWN,MAAP,999.0,999.0,1.0,999.0,1.0,1.0
Genova-Bolzaneto,ID332,2011-08-11 00:00:00+00:00,1.964606845,1.984252913595481,UNKNOWN,UNKNOWN,MAAP,999.0,999.0,1.0,999.0,1.0,1.0
Genova-Bolzaneto,ID332,2011-08-13 00:00:00+00:00,1.207722045,1.2197992649629346,UNKNOWN,UNKNOWN,MAAP,999.0,999.0,1.0,999.0,1.0,1.0
Genova-Bolzaneto,ID332,2011-08-15 00:00:00+00:00,1.324207215,1.337449286805055,UNKNOWN,UNKNOWN,MAAP,999.0,999.0,1.0,999.0,1.0,1.0
